_is_range_tp_override,actual_sl_m,bar_idx,bars_held,entry_time,entry_type,ep,exec_lag_jitter,exit_friction_m,exit_reason,outcome,sig,sl,sl_m,tp,tp_m
False,,200,5,2025-05-09 09:30:00+00:00,sr_fib_confluence,1.32733,0.0,0.1333,tp_sl,WIN,BUY,1.3255,1.7380952380954169,1.32919,1.064
False,,207,1,2025-05-09 11:15:00+00:00,session_time_bias,1.32764,0.0,0.1273,signal_reverse,LOSS,SELL,1.3301,0.091,1.32469,0.091
False,,210,4,2025-05-09 12:00:00+00:00,xs_momentum,1.3278,0.0,0.1273,tp_sl,WIN,BUY,1.32593,1.7045454545453171,1.32971,1.043
False,,216,1,2025-05-09 13:30:00+00:00,session_time_bias,1.32885,0.0,0.1207,signal_reverse,LOSS,SELL,1.33135,0.521,1.32584,0.521
False,,219,12,2025-05-09 14:15:00+00:00,xs_momentum,1.33132,0.0,0.1081,tp_sl,LOSS,BUY,1.32927,1.6599462365590913,1.33342,1.6931451612902588
False,,283,1,2025-05-12 06:15:00+00:00,turtle_soup,1.3291,0.0,0.2174,tp_sl,WIN,SELL,1.33018,1.249999999999927,1.32801,1.275000000000065
False,,286,1,2025-05-12 07:00:00+00:00,trendline_sweep,1.32387,0.0,0.1138,tp_sl,WIN,SELL,1.33339,7.743902439024215,1.31415,4.739
False,,289,10,2025-05-12 07:45:00+00:00,post_news_vol,1.31666,0.0,0.087,tp_sl,WIN,SELL,1.32648,6.097308488612785,1.30665,3.732
False,,303,3,2025-05-12 11:15:00+00:00,htf_false_breakout,1.31638,0.0,0.0828,signal_reverse,WIN,BUY,1.31427,1.2499999999999771,1.31853,0.746
False,,313,11,2025-05-12 13:45:00+00:00,session_time_bias,1.31988,0.0,0.0887,tp_sl,WIN,SELL,1.32239,1.6666666666667036,1.31686,1.2
False,,328,13,2025-05-12 17:30:00+00:00,dt_bb_rsi_mr,1.31726,0.0,0.1203,tp_sl,WIN,BUY,1.31486,1.8045112781954569,1.31971,1.104
True,,375,1,2025-05-13 05:15:00+00:00,dt_bb_rsi_mr,1.32008,0.0,0.2337,tp_sl,WIN,SELL,1.32088,1.0000000000001674,1.31912,0.72
False,,378,3,2025-05-13 06:00:00+00:00,sr_break_retest,1.31923,0.0,0.22,signal_reverse,LOSS,SELL,1.32065,1.252,1.31779,1.252
False,,384,7,2025-05-13 07:30:00+00:00,gbp_deep_pullback,1.32117,0.0,0.1414,signal_reverse,WIN,BUY,1.31816,3.0387205387204843,1.32478,0.162
False,,393,1,2025-05-13 09:45:00+00:00,session_time_bias,1.32113,0.0,0.1443,signal_reverse,LOSS,SELL,1.32332,0.68,1.3185,0.68
False,,396,1,2025-05-13 10:30:00+00:00,turtle_soup,1.3209,0.0,0.1386,tp_sl,WIN,SELL,1.32505,4.108910891089206,1.31667,2.515
False,1.99,400,3,2025-05-13 11:30:00+00:00,session_time_bias,1.32078,0.0,0.1443,tp_sl,LOSS,SELL,1.32239,1.6580756013746738,1.31885,1.9896907216494713
False,,405,7,2025-05-13 12:45:00+00:00,xs_momentum,1.32447,0.0,0.125,tp_sl,WIN,BUY,1.32195,2.2470238095238595,1.32704,1.375
False,,414,5,2025-05-13 15:00:00+00:00,xs_momentum,1.3265,0.0,0.0985,tp_sl,WIN,BUY,1.32343,2.2610294117646608,1.32964,1.384
False,,421,3,2025-05-13 16:45:00+00:00,xs_momentum,1.3293,0.0,0.1113,tp_sl,WIN,BUY,1.32717,1.66666666666683,1.33148,1.02
False,,470,3,2025-05-14 05:00:00+00:00,dual_sr_bounce,1.3306,0.0,0.2461,tp_sl,LOSS,BUY,1.32935,1.644736842105228,1.33187,1.6776315789475487
False,,475,2,2025-05-14 06:15:00+00:00,turtle_soup,1.33072,0.0,0.2253,tp_sl,WIN,BUY,1.32798,3.3032128514053256,1.33351,2.022
False,,482,1,2025-05-14 08:00:00+00:00,gbp_deep_pullback,1.33364,0.0,0.1157,tp_sl,WIN,BUY,1.32751,5.0688705234159706,1.341,3.65
False,,485,1,2025-05-14 08:45:00+00:00,gbp_deep_pullback,1.33483,0.0,0.1069,tp_sl,WIN,BUY,1.32783,5.3435114503816,1.34323,3.847
False,,488,1,2025-05-14 09:30:00+00:00,session_time_bias,1.33493,0.0,0.1061,tp_sl,WIN,SELL,1.33712,1.660353535353647,1.3323,1.195
False,,491,3,2025-05-14 10:15:00+00:00,session_time_bias,1.33391,0.0,0.1085,tp_sl,WIN,SELL,1.3368,2.241602067183517,1.33044,1.614
False,,497,1,2025-05-14 11:45:00+00:00,session_time_bias,1.33322,0.0,0.1102,signal_reverse,WIN,SELL,1.33607,2.2440944881889915,1.3298,0.181
False,,500,1,2025-05-14 12:30:00+00:00,xs_momentum,1.33348,0.0,0.1045,signal_reverse,LOSS,BUY,1.33124,1.47,1.33577,1.47
False,,503,3,2025-05-14 13:15:00+00:00,sr_fib_confluence,1.33173,0.0,0.0985,tp_sl,WIN,SELL,1.33343,1.2500000000000255,1.32999,1.2750000000000914
False,,508,7,2025-05-14 14:30:00+00:00,xs_momentum,1.32931,0.0,0.0924,tp_sl,WIN,SELL,1.33172,1.6666666666665597,1.32684,1.02
False,,519,3,2025-05-14 17:15:00+00:00,xs_momentum,1.32835,0.0,0.1168,tp_sl,WIN,SELL,1.33063,1.6666666666667262,1.32602,1.7000000000001807
False,,566,1,2025-05-15 05:00:00+00:00,ema200_trend_reversal,1.3274,0.0,0.2493,tp_sl,WIN,SELL,1.32853,1.5000000000000568,1.32626,1.5299999999998093
False,,570,1,2025-05-15 06:00:00+00:00,trendline_sweep,1.32849,0.0,0.2149,tp_sl,WIN,BUY,1.3248,4.243295019157068,1.33225,2.597
False,,573,1,2025-05-15 06:45:00+00:00,sr_fib_confluence,1.3306,0.0,0.1928,tp_sl,LOSS,BUY,1.32876,1.8986254295531126,1.33248,1.9365979381442207
False,,576,1,2025-05-15 07:30:00+00:00,session_time_bias,1.328,0.0,0.1308,tp_sl,WIN,SELL,1.33042,2.258566978193209,1.3251,1.626
False,,579,7,2025-05-15 08:15:00+00:00,session_time_bias,1.32721,0.0,0.125,tp_sl,LOSS,SELL,1.32973,2.2470238095238595,1.32419,2.696428571428592
False,2.36,588,4,2025-05-15 10:30:00+00:00,trendline_sweep,1.32966,0.0,0.1228,tp_sl,LOSS,BUY,1.32709,2.2514619883040403,1.33228,2.2964912280701837
False,,594,1,2025-05-15 12:00:00+00:00,trendline_sweep,1.32832,0.0,0.1167,tp_sl,WIN,BUY,1.32544,2.402777777777791,1.33126,1.471
False,,597,1,2025-05-15 12:45:00+00:00,sr_anti_hunt_bounce,1.33067,0.0,0.1007,tp_sl,WIN,BUY,1.31678,9.994004796163047,1.34484,6.116
False,,600,2,2025-05-15 13:30:00+00:00,session_time_bias,1.32977,0.0,0.095,tp_sl,WIN,SELL,1.3321,1.6548463356973748,1.32697,1.191
False,,605,1,2025-05-15 14:45:00+00:00,trendline_sweep,1.328,0.0,0.0876,tp_sl,WIN,BUY,1.32497,1.9825708061001448,1.3311,1.213
False,,608,4,2025-05-15 15:30:00+00:00,ema200_trend_reversal,1.32826,0.0,0.0882,tp_sl,WIN,BUY,1.32583,1.6008771929822798,1.33075,0.98
True,0.568,621,2,2025-05-15 18:45:00+00:00,dt_bb_rsi_mr,1.32963,0.0,0.1441,tp_sl,LOSS,SELL,1.33016,0.4729729729730709,1.329,0.567567567567685
True,,625,4,2025-05-15 19:45:00+00:00,dt_bb_rsi_mr,1.33037,0.0,0.1584,tp_sl,WIN,SELL,1.33138,0.9999999999999558,1.32916,0.72
False,,632,9,2025-05-15 21:30:00+00:00,sr_anti_hunt_bounce,1.33051,0.0,0.2101,tp_sl,WIN,BUY,1.31742,13.221885521885522,1.34366,7.969
True,,663,1,2025-05-16 05:15:00+00:00,dt_bb_rsi_mr,1.33187,0.0,0.2493,tp_sl,LOSS,SELL,1.3326,0.9700000000002854,1.331,1.164000000000165
True,,668,1,2025-05-16 06:30:00+00:00,dt_bb_rsi_mr,1.33262,0.0,0.2367,tp_sl,WIN,SELL,1.33314,0.6571729957805394,1.332,0.7886075949367597
False,,672,1,2025-05-16 07:30:00+00:00,session_time_bias,1.33227,0.0,0.1728,tp_sl,WIN,SELL,1.3341,2.263374485596733,1.33007,1.63
False,,675,5,2025-05-16 08:15:00+00:00,session_time_bias,1.33041,0.0,0.1591,tp_sl,WIN,SELL,1.33188,1.6666666666667354,1.32865,1.2
False,,682,3,2025-05-16 10:00:00+00:00,session_time_bias,1.32834,0.0,0.1489,tp_sl,LOSS,SELL,1.3299,1.657801418439711,1.32647,1.9893617021277004
False,,687,1,2025-05-16 11:15:00+00:00,session_time_bias,1.32937,0.0,0.1505,tp_sl,WIN,SELL,1.33091,1.657706093189841,1.32752,1.194
False,,692,2,2025-05-16 12:30:00+00:00,xs_momentum,1.32786,0.0,0.1458,tp_sl,LOSS,SELL,1.32948,1.684027777777939,1.32621,1.7177083333333454
False,,698,1,2025-05-16 14:00:00+00:00,session_time_bias,1.32817,0.0,0.1229,tp_sl,WIN,SELL,1.33007,1.7507645259939455,1.32588,2.100917431192775
False,1.678,703,13,2025-05-16 15:15:00+00:00,xs_momentum,1.3257,0.0,0.1063,tp_sl,LOSS,SELL,1.32779,1.6600529100528594,1.32356,1.6932539682539764
False,,751,2,2025-05-19 05:15:00+00:00,dual_sr_bounce,1.33037,0.0,0.2397,tp_sl,WIN,BUY,1.3289,1.880341880341958,1.33186,1.151
False,,757,1,2025-05-19 06:45:00+00:00,gbp_deep_pullback,1.33226,0.0,0.2055,tp_sl,WIN,BUY,1.32817,4.496336996336928,1.33717,3.237
False,2.291,764,1,2025-05-19 08:30:00+00:00,dt_sr_channel_reversal,1.33476,0.0,0.1197,tp_sl,LOSS,SELL,1.33699,1.9088319088318884,1.33248,1.947008547008549
False,,777,2,2025-05-19 11:45:00+00:00,dt_sr_channel_reversal,1.33802,0.0,0.1176,signal_reverse,LOSS,SELL,1.33999,0.218,1.33601,0.218
False,,783,2,2025-05-19 13:15:00+00:00,session_time_bias,1.33671,0.0,0.1117,tp_sl,WIN,SELL,1.33941,2.2500000000001226,1.33347,1.62
False,,787,21,2025-05-19 14:15:00+00:00,xs_momentum,1.33589,0.0,0.1117,tp_sl,WIN,SELL,1.33857,2.2361111111111427,1.33315,1.368
False,,846,1,2025-05-20 05:00:00+00:00,sr_anti_hunt_bounce,1.3375,0.0,0.22,tp_sl,WIN,BUY,1.32742,11.852941176470654,1.34777,7.254
False,,849,2,2025-05-20 05:45:00+00:00,dt_fib_reversal,1.33738,0.0,0.2078,tp_sl,WIN,SELL,1.33879,1.5648148148147043,1.33595,0.958
False,,858,1,2025-05-20 08:00:00+00:00,session_time_bias,1.3384,0.0,0.1346,tp_sl,WIN,SELL,1.34074,2.2516025641025834,1.33559,1.621
False,,861,4,2025-05-20 08:45:00+00:00,session_time_bias,1.33722,0.0,0.1321,tp_sl,WIN,SELL,1.3396,2.2484276729560415,1.33436,1.619
False,,867,6,2025-05-20 10:15:00+00:00,session_time_bias,1.33564,0.0,0.1321,tp_sl,WIN,SELL,1.33802,2.248427672955832,1.33278,1.619
False,,875,5,2025-05-20 12:15:00+00:00,session_time_bias,1.33387,0.0,0.1273,tp_sl,LOSS,SELL,1.3357,1.666666666666685,1.33167,1.9999999999999816
False,,882,1,2025-05-20 14:00:00+00:00,trendline_sweep,1.33718,0.0,0.1117,signal_reverse,LOSS,BUY,1.33114,0.657,1.34335,0.657
False,,886,9,2025-05-20 15:00:00+00:00,trendline_sweep,1.3355,0.0,0.1089,tp_sl,LOSS,SELL,1.33851,2.4525745257452582,1.33242,2.50162601626016
False,,897,12,2025-05-20 17:45:00+00:00,sr_anti_hunt_bounce,1.33825,0.0,0.1495,tp_sl,WIN,BUY,1.32839,9.213395638629255,1.34831,5.639
False,,950,1,2025-05-21 07:00:00+00:00,htf_false_breakout,1.34253,0.0,0.1186,tp_sl,WIN,SELL,1.34932,5.755649717514196,1.3356,3.522
False,,953,1,2025-05-21 07:45:00+00:00,sr_fib_confluence,1.34137,0.0,0.1045,signal_reverse,LOSS,BUY,1.33861,0.619,1.34418,0.619
False,,956,2,2025-05-21 08:30:00+00:00,session_time_bias,1.34019,0.0,0.1069,tp_sl,WIN,SELL,1.34313,2.2455470737913132,1.33666,1.617
False,,960,2,2025-05-21 09:30:00+00:00,sr_fib_confluence,1.34051,0.0,0.1029,signal_reverse,LOSS,SELL,1.34276,2.25,1.33821,2.25
False,,964,1,2025-05-21 10:30:00+00:00,sr_fib_confluence,1.34282,0.0,0.1022,tp_sl,WIN,SELL,1.34491,1.5267639902675934,1.34069,1.5572992700730004
False,,967,1,2025-05-21 11:15:00+00:00,sr_fib_confluence,1.34091,0.0,0.1,tp_sl,WIN,SELL,1.34266,1.2499999999999416,1.33913,0.765
False,,970,5,2025-05-21 12:00:00+00:00,sr_fib_confluence,1.34062,0.0,0.0946,tp_sl,LOSS,SELL,1.343,1.610360360360408,1.33819,1.6425675675676161
False,,978,3,2025-05-21 14:00:00+00:00,session_time_bias,1.34323,0.0,0.0887,signal_reverse,LOSS,SELL,1.34574,1.065,1.34021,1.065
False,,983,1,2025-05-21 15:15:00+00:00,dt_bb_rsi_mr,1.34413,0.0,0.0912,signal_reverse,LOSS,SELL,1.34678,0.359,1.34141,0.359
False,,986,2,2025-05-21 16:00:00+00:00,london_fix_reversal,1.34421,0.0,0.1033,signal_reverse,LOSS,SELL,1.34593,0.46,1.34214,0.46
False,1.712,990,3,2025-05-21 17:00:00+00:00,xs_momentum,1.3451,0.0,0.128,tp_sl,LOSS,BUY,1.34303,1.6599999999998616,1.34722,1.6931999999998837
False,,1001,8,2025-05-21 19:45:00+00:00,gbp_deep_pullback,1.34144,0.0,0.1481,tp_sl,WIN,SELL,1.34565,3.8959876543209346,1.33665,2.661
False,,1047,2,2025-05-22 07:15:00+00:00,inducement_ob,1.34272,0.0,0.1458,tp_sl,WIN,BUY,1.34152,1.2500000000000937,1.34394,1.2750000000001187
False,,1051,1,2025-05-22 08:15:00+00:00,inducement_ob,1.34261,0.0,0.1321,tp_sl,WIN,SELL,1.34569,2.908805031446535,1.33947,1.78
False,2.254,1054,9,2025-05-22 09:00:00+00:00,session_time_bias,1.33972,0.0,0.1228,tp_sl,LOSS,SELL,1.34229,2.2514619883040403,1.33664,2.7017543859648874
False,,1065,2,2025-05-22 11:45:00+00:00,session_time_bias,1.34188,0.0,0.1228,tp_sl,WIN,SELL,1.34378,1.6666666666666778,1.3396,1.2
False,,1069,2,2025-05-22 12:45:00+00:00,wick_imbalance_reversion,1.34145,0.0,0.1176,tp_sl,WIN,BUY,1.33898,2.072829131652806,1.34397,1.269
False,,1073,4,2025-05-22 13:45:00+00:00,session_time_bias,1.34161,0.0,0.1081,tp_sl,WIN,SELL,1.34373,1.7137096774193004,1.33906,1.234
False,,1081,5,2025-05-22 15:45:00+00:00,london_fix_reversal,1.34228,0.0,0.1015,tp_sl,WIN,SELL,1.34393,1.2500000000001146,1.3403,1.5000000000000704
True,,1088,1,2025-05-22 17:30:00+00:00,dt_bb_rsi_mr,1.34094,0.0,0.1345,tp_sl,WIN,BUY,1.34006,0.7422969187675185,1.342,0.8907563025210595
False,,1145,1,2025-05-23 07:45:00+00:00,gbp_deep_pullback,1.34811,0.0,0.1414,signal_reverse,WIN,BUY,1.34317,4.991582491582447,1.35404,0.02
False,,1163,1,2025-05-23 12:15:00+00:00,xs_momentum,1.34989,0.0,0.1061,tp_sl,WIN,BUY,1.34769,1.6666666666666514,1.35213,1.6999999999999338
False,,1167,2,2025-05-23 13:15:00+00:00,htf_false_breakout,1.34964,0.0,0.0838,signal_reverse,LOSS,SELL,1.35567,0.03,1.34348,0.03
False,,1173,11,2025-05-23 14:45:00+00:00,gbp_deep_pullback,1.34972,0.0,0.0887,tp_sl,WIN,BUY,1.34596,2.49448123620311,1.35424,1.796
False,2.011,1234,1,2025-05-26 06:15:00+00:00,sr_break_retest,1.35915,0.0,0.2101,tp_sl,LOSS,BUY,1.35766,1.6760299625468191,1.36067,1.7095505617977007
False,,1239,7,2025-05-26 07:30:00+00:00,sr_break_retest,1.35696,0.0,0.1489,tp_sl,WIN,SELL,1.35853,1.6666666666667194,1.35536,1.02
False,,1248,1,2025-05-26 09:45:00+00:00,trendline_sweep,1.35626,0.0,0.1556,signal_reverse,LOSS,BUY,1.35438,0.778,1.35818,0.778
False,,1251,12,2025-05-26 10:30:00+00:00,intraday_seasonality,1.35556,0.0,0.1591,signal_reverse,LOSS,SELL,1.35733,1.227,1.35376,1.227
False,1.752,1270,23,2025-05-26 15:15:00+00:00,squeeze_release_momentum,1.35639,0.0,0.1696,tp_sl,LOSS,BUY,1.3552,1.5063291139240815,1.35808,2.13037974683529
False,,1326,2,2025-05-27 05:15:00+00:00,gbp_deep_pullback,1.35424,0.0,0.2226,signal_reverse,LOSS,SELL,1.35852,2.945,1.34911,2.945
False,,1330,1,2025-05-27 06:15:00+00:00,sr_fib_confluence,1.35644,0.0,0.2055,tp_sl,WIN,SELL,1.35782,1.5109890109889055,1.35504,1.5412087912087618
False,,1333,1,2025-05-27 07:00:00+00:00,sr_fib_confluence,1.35538,0.0,0.1414,tp_sl,WIN,SELL,1.35709,1.725589225589316,1.35364,1.7601010101009902
False,2.0,1336,2,2025-05-27 07:45:00+00:00,session_time_bias,1.3523,0.0,0.1273,tp_sl,LOSS,SELL,1.35413,1.666666666666685,1.3501,1.9999999999999816
False,2.009,1340,13,2025-05-27 08:45:00+00:00,session_time_bias,1.35351,0.0,0.125,tp_sl,LOSS,SELL,1.35539,1.6741071428572065,1.35126,2.0089285714286476
False,,1357,2,2025-05-27 13:00:00+00:00,session_time_bias,1.35597,0.0,0.1327,tp_sl,WIN,SELL,1.35825,2.2607260726071217,1.35323,1.628
False,,1362,1,2025-05-27 14:15:00+00:00,intraday_seasonality,1.35352,0.0,0.1107,signal_reverse,LOSS,BUY,1.35079,1.354,1.35631,1.354
False,,1370,3,2025-05-27 16:15:00+00:00,htf_false_breakout,1.35105,0.0,0.1197,signal_reverse,LOSS,BUY,1.34957,0.601,1.35257,0.601
False,,1376,15,2025-05-27 17:45:00+00:00,xs_momentum,1.35073,0.0,0.1584,tp_sl,LOSS,SELL,1.353,2.244224422441997,1.34842,2.28910891089096
False,,1424,4,2025-05-28 05:45:00+00:00,dt_sr_channel_reversal,1.3481,0.0,0.2078,tp_sl,WIN,BUY,1.34658,1.6851851851853696,1.34964,1.7188888888890967
False,,1431,2,2025-05-28 07:30:00+00:00,post_news_vol,1.35012,0.0,0.1273,signal_reverse,LOSS,BUY,1.34671,0.373,1.3536,0.373
False,,1435,7,2025-05-28 08:30:00+00:00,sr_fib_confluence,1.35101,0.0,0.1261,tp_sl,WIN,BUY,1.34899,1.8168168168169165,1.35307,1.112
False,,1444,2,2025-05-28 10:45:00+00:00,sr_fib_confluence,1.34953,0.0,0.1321,signal_reverse,LOSS,BUY,1.3477,1.16,1.35139,1.16
False,,1448,5,2025-05-28 11:45:00+00:00,session_time_bias,1.34769,0.0,0.1333,tp_sl,WIN,SELL,1.34945,1.674603174603149,1.34558,1.206
False,2.531,1455,1,2025-05-28 13:30:00+00:00,xs_momentum,1.34543,0.0,0.1218,tp_sl,LOSS,SELL,1.3479,2.2500000000000044,1.3429,2.295000000000037
False,,1458,1,2025-05-28 14:15:00+00:00,sr_fib_confluence,1.34835,0.0,0.1126,tp_sl,WIN,SELL,1.35049,1.799719887955217,1.34616,1.101
False,,1461,1,2025-05-28 15:00:00+00:00,xs_momentum,1.3464,0.0,0.1063,tp_sl,WIN,SELL,1.34921,2.2354497354497536,1.34352,1.368
False,,1466,16,2025-05-28 16:15:00+00:00,xs_momentum,1.34701,0.0,0.1208,tp_sl,LOSS,SELL,1.34967,2.2528248587569553,1.3443,2.297881355931996
False,,1517,4,2025-05-29 05:00:00+00:00,gbp_deep_pullback,1.34332,0.0,0.1781,signal_reverse,LOSS,SELL,1.34544,2.251,1.34078,2.251
False,,1523,4,2025-05-29 06:30:00+00:00,sr_fib_confluence,1.34544,0.0,0.1764,signal_reverse,WIN,BUY,1.34341,1.9103773584907222,1.3475,0.789
False,,1529,9,2025-05-29 08:00:00+00:00,gbp_deep_pullback,1.34744,0.0,0.1321,tp_sl,WIN,BUY,1.34111,5.974842767295568,1.35504,4.302
False,,1540,2,2025-05-29 10:45:00+00:00,session_time_bias,1.34707,0.0,0.1284,tp_sl,WIN,SELL,1.34888,1.6590214067279005,1.3449,1.194
False,,1544,2,2025-05-29 11:45:00+00:00,session_time_bias,1.34591,0.0,0.1333,signal_reverse,LOSS,SELL,1.34827,3.771,1.34308,3.771
False,,1548,12,2025-05-29 12:45:00+00:00,xs_momentum,1.35008,0.0,0.1111,tp_sl,LOSS,BUY,1.34723,2.261904761904777,1.35299,2.3071428571428516
False,,1564,15,2025-05-29 16:45:00+00:00,london_fix_reversal,1.34918,0.0,0.1131,tp_sl,LOSS,SELL,1.35097,1.4219576719576474,1.34703,1.7063492063491064
False,1.695,1615,1,2025-05-30 05:30:00+00:00,dt_fib_reversal,1.34784,0.0,0.2562,tp_sl,LOSS,BUY,1.34672,1.5296803652967874,1.34898,1.5602739726027413
False,,1618,2,2025-05-30 06:15:00+00:00,dt_sr_channel_reversal,1.34744,0.0,0.2226,tp_sl,WIN,BUY,1.34595,1.7658730158732179,1.34922,1.271
True,,1622,1,2025-05-30 07:15:00+00:00,dt_bb_rsi_mr,1.34644,0.0,0.1414,tp_sl,WIN,BUY,1.34597,0.47138047138041944,1.347,0.5656565656564585
False,1.83,1625,16,2025-05-30 08:00:00+00:00,session_time_bias,1.34686,0.0,0.1321,tp_sl,LOSS,SELL,1.34865,1.690251572327015,1.34471,2.028301886792334
False,,1644,1,2025-05-30 12:45:00+00:00,session_time_bias,1.34911,0.0,0.1207,tp_sl,WIN,SELL,1.35172,2.2485632183907964,1.34598,1.619
False,,1647,1,2025-05-30 13:30:00+00:00,session_time_bias,1.34609,0.0,0.1117,tp_sl,WIN,SELL,1.3488,2.2638888888889173,1.34283,1.63
False,,1650,1,2025-05-30 14:15:00+00:00,inducement_ob,1.34713,0.0,0.1015,tp_sl,WIN,BUY,1.34328,2.9166666666665977,1.35106,1.785
False,,1653,5,2025-05-30 15:00:00+00:00,mqe_gbpusd_fix,1.34773,0.0,0.0957,tp_sl,WIN,SELL,1.34983,1.4999999999999933,1.34558,1.530000000000063
False,,1660,13,2025-05-30 16:45:00+00:00,london_fix_reversal,1.34612,0.0,0.1149,tp_sl,WIN,BUY,1.34426,1.4986559139784639,1.34835,1.079
False,,1715,1,2025-06-02 06:45:00+00:00,dt_bb_rsi_mr,1.35293,0.0,0.1968,tp_sl,LOSS,SELL,1.35464,1.798245614034948,1.35119,1.8342105263157686
False,,1727,3,2025-06-02 09:45:00+00:00,dt_sr_channel_reversal,1.35397,0.0,0.1386,tp_sl,WIN,SELL,1.35566,1.6749174917491552,1.35224,1.025
False,,1734,3,2025-06-02 11:30:00+00:00,session_time_bias,1.3533,0.0,0.1386,tp_sl,LOSS,SELL,1.35499,1.6749174917491552,1.35127,2.0099009900989864
False,,1739,1,2025-06-02 12:45:00+00:00,session_time_bias,1.35401,0.0,0.1346,tp_sl,WIN,SELL,1.35574,1.6666666666666967,1.35193,2.0000000000000786
False,,1744,9,2025-06-02 14:00:00+00:00,gbp_deep_pullback,1.35521,0.0,0.1107,signal_reverse,LOSS,BUY,1.34953,2.412,1.36203,2.412
False,2.289,1755,12,2025-06-02 16:45:00+00:00,xs_momentum,1.3521,0.0,0.1239,tp_sl,LOSS,SELL,1.35469,2.253623188405887,1.34945,2.2986956521741244
True,,1770,1,2025-06-02 20:30:00+00:00,dt_bb_rsi_mr,1.35435,0.0,0.2476,tp_sl,WIN,SELL,1.35519,0.9999999999999427,1.35334,1.1999999999998783
False,,1808,1,2025-06-03 06:00:00+00:00,sr_break_retest,1.3519,0.0,0.228,tp_sl,LOSS,SELL,1.35314,1.504065040650241,1.35065,1.534146341463392
False,,1811,1,2025-06-03 06:45:00+00:00,sr_fib_confluence,1.353,0.0,0.1968,signal_reverse,LOSS,SELL,1.35482,0.141,1.35115,0.141
False,,1814,1,2025-06-03 07:30:00+00:00,trendline_sweep,1.3519,0.0,0.1359,tp_sl,WIN,SELL,1.35505,3.0582524271844522,1.34869,1.872
False,,1817,4,2025-06-03 08:15:00+00:00,session_time_bias,1.35074,0.0,0.1414,tp_sl,LOSS,SELL,1.35239,1.6666666666668195,1.34876,2.0000000000000937
False,,1823,3,2025-06-03 09:45:00+00:00,session_time_bias,1.35125,0.0,0.14,tp_sl,WIN,SELL,1.3535,2.249999999999863,1.34855,1.62
True,,1828,1,2025-06-03 11:00:00+00:00,dt_bb_rsi_mr,1.35083,0.0,0.1386,tp_sl,LOSS,BUY,1.34985,0.9653465346536337,1.352,1.1584158415842727
False,1.923,1832,3,2025-06-03 12:00:00+00:00,session_time_bias,1.34924,0.0,0.1346,tp_sl,LOSS,SELL,1.35111,1.8028846153844704,1.34699,2.1634615384614073
False,,1837,2,2025-06-03 13:15:00+00:00,session_time_bias,1.35078,0.0,0.1264,tp_sl,WIN,SELL,1.35253,1.6588050314465153,1.34867,1.194
False,,1841,14,2025-06-03 14:15:00+00:00,turtle_soup,1.35235,0.0,0.1072,tp_sl,LOSS,BUY,1.34825,3.2866666666667044,1.35654,3.3523999999999887
False,,1902,2,2025-06-04 05:30:00+00:00,gbp_deep_pullback,1.35055,0.0,0.228,signal_reverse,LOSS,SELL,1.35341,1.42,1.34712,1.42
False,,1906,1,2025-06-04 06:30:00+00:00,trendline_sweep,1.35221,0.0,0.2174,tp_sl,WIN,BUY,1.34935,3.323643410852799,1.35512,2.034
False,,1909,21,2025-06-04 07:15:00+00:00,trendline_sweep,1.35407,0.0,0.1489,tp_sl,LOSS,BUY,1.34814,6.303191489361894,1.36011,6.429255319149033
False,,1932,2,2025-06-04 13:00:00+00:00,session_time_bias,1.35353,0.0,0.1186,signal_reverse,LOSS,SELL,1.35541,0.379,1.35127,0.379
False,,1936,1,2025-06-04 14:00:00+00:00,xs_momentum,1.35589,0.0,0.1081,tp_sl,WIN,BUY,1.35383,1.666666666666662,1.358,1.02
False,1.771,1939,16,2025-06-04 14:45:00+00:00,xs_momentum,1.3577,0.0,0.1039,tp_sl,LOSS,BUY,1.35555,1.6666666666667413,1.3599,1.7000000000000866
False,,1957,1,2025-06-04 19:15:00+00:00,sr_anti_hunt_bounce,1.35535,0.0,0.1667,signal_reverse,LOSS,BUY,1.34227,0.958,1.3685,0.958
False,,1962,1,2025-06-04 20:30:00+00:00,sr_anti_hunt_bounce,1.35531,0.0,0.2506,tp_sl,WIN,BUY,1.34298,14.858634538152467,1.36772,8.971
False,,2006,10,2025-06-05 07:30:00+00:00,session_time_bias,1.35653,0.0,0.1474,signal_reverse,LOSS,SELL,1.35867,1.558,1.35396,1.558
False,,2018,1,2025-06-05 10:30:00+00:00,session_time_bias,1.35767,0.0,0.1458,signal_reverse,LOSS,SELL,1.35927,0.01,1.35575,0.01
False,,2021,3,2025-06-05 11:15:00+00:00,sr_fib_confluence,1.35717,0.0,0.1522,tp_sl,WIN,BUY,1.35579,1.503623188405752,1.35858,0.92
False,,2026,1,2025-06-05 12:30:00+00:00,xs_momentum,1.35897,0.0,0.14,tp_sl,LOSS,BUY,1.3573,1.6666666666667052,1.36067,1.7000000000000348
False,,2029,2,2025-06-05 13:15:00+00:00,xs_momentum,1.36151,0.0,0.1047,tp_sl,LOSS,BUY,1.35938,1.66666666666683,1.36369,1.7000000000001387
False,,2034,4,2025-06-05 14:30:00+00:00,xs_momentum,1.35984,0.0,0.0993,tp_sl,LOSS,BUY,1.35759,1.6666666666665653,1.36214,1.6999999999999524
